"Datum","Tijd","Tijdzone","Naam","Type","Status","Valuta","Bedrag","Kosten","Totaal","Wisselkoers","Ontvangstbewijsreferentie","Saldo","Transactiereferentie","Objecttitel"
"22-06-2025","08:57:40","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-9,99","0,00","-9,99",,"","-9,99","4B464019P6996222X",""
"22-06-2025","08:57:40","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","9,99","0,00","9,99",,"","0,00","9LX20500PV4230534",""
"22-06-2025","20:53:31","CEST","www.steampowered.com","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-89,99","0,00","-89,99",,"","-89,99","4EP70190JP484943P",""
"22-06-2025","20:53:31","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","89,99","0,00","89,99",,"","0,00","7BE001644X926131Y",""
"23-06-2025","12:34:57","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-2,99","0,00","-2,99",,"","-2,99","61Y49622A7157730D",""
"23-06-2025","12:34:57","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","2,99","0,00","2,99",,"","0,00","5A423013MC293844J",""
"27-06-2025","02:35:45","CEST","Patreon Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-12,71","0,00","-12,71",,"","-12,71","1DC34107AY650850A",""
"27-06-2025","02:35:45","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","12,71","0,00","12,71",,"","0,00","2LH26681KX9632419",""
"27-06-2025","18:22:12","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,61","0,00","-22,61",,"","-22,61","3CW35406JY761721K",""
"27-06-2025","18:22:12","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,61","0,00","22,61",,"","0,00","8LU92439LL780315P",""
"28-06-2025","12:52:32","CEST","www.steampowered.com","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-6,24","0,00","-6,24",,"","-6,24","2TP52979935124943",""
"28-06-2025","12:52:32","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","6,24","0,00","6,24",,"","0,00","0CA492131L752521J",""
"28-06-2025","21:26:16","CEST","www.steampowered.com","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-6,24","0,00","-6,24",,"","-6,24","58X01982FR141604E",""
"28-06-2025","21:26:16","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","6,24","0,00","6,24",,"","0,00","63878468G11547508",""
"08-07-2025","18:59:38","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,28","0,00","-22,28",,"","-22,28","6S139731GS676661P",""
"08-07-2025","18:59:38","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,28","0,00","22,28",,"","0,00","7CK14549E5863783G",""
